F5ZIN 48.5575231 -3.4476471
F4KLA 45.6152949 -1.0053992
F5ZJX 48.5893258 -3.8397217
F1ZEE 48.4880553 -3.3672667
F5ZEM 47.2046424 -1.5600586
F6JSP 47.4715605 -0.2899629
F0EJB 48.9643287 5.8261871
F1EVM 48.0978018 -0.8864594
F1TYP 50.489187 3.3515167
LX2OOO 49.6312768 6.100004
F5ZGJ 50.451766 2.9094887
F1TZO 48.6347237 -2.0549583
F5LRQ 46.86113 -0.6557465
F5ZBR 45.4331536 4.3945313
F4VSJ 48.1865185 -3.2693768
F6CIU 48.6094478 -4.550904
F6KFW 49.6358421 -1.6297531
F4ELI 48.4342904 -4.7333694
F1ZDD 48.4798026 7.4750483
F6IRG 45.3896493 5.0533652
F5LCT 45.0051076 -1.1168289
F5ZMU 48.5611587 -3.1259537
F1ZCY 49.3718669 2.0005417
F5KOU 49.9900839 2.6844406
F5ZGE 44.3553941 2.5817577
F4KKV 48.3991207 -0.7899857
F4GGU 48.6059008 -2.8815079
F1ZKG 49.3336245 2.0395088
F5ZEQ 48.9254882 2.1219063
F1ZNW 48.5582048 -2.5349236
F0GVD 42.5777499 2.07515
VA2NRJ 45.5728555 -73.3827757
F5KIA 47.9975207 2.7339269
F5MIV 50.2777075 2.7601422
F1ZPA 48.5715329 6.8890488
F8HJV 43.0181605 6.4362383
F4GBV 47.4372173 -2.0871824
F5BUF 48.2300116 -0.3079474
F6KBR 42.6952685 2.8963731
F5UEU 44.163929 4.6202235
CN8VY 33.9648152 -6.8608408
F4NNP 43.3685638 5.3761389
F4EVC 49.0559967 6.1697459
F1ZKE 49.2583544 2.4779257
F4BNF 49.0257676 -1.2844186
F1ZKS 46.4323849 5.7087406
F0EOC 49.1453797 6.8097611
VA2RXY 47.4377517 -69.0482257
F1BSR 49.8141795 3.2639752
F1ZOT 46.6530345 -0.3537231
F5MAG 43.398214 5.5397562
FK8HM -22.2690587 166.4416857
F1ZKH 49.4202049 2.8103392
F6ION 50.7142448 2.9998135
F1ZPH 43.2149097 2.3504168
F6KCE 50.1168638 2.8460574
F5MTB 50.2480556 2.7200533
F4BOH 49.0058693 2.092265
F4GLU 48.6627786 2.3416914
F1ZID 45.3433192 4.6504661
F1ZLS 43.4315499 1.2224839
F5KHC 44.9036115 2.554493
F1ZDN 50.2024372 3.8147331
PU2ZSP -23.558016 -46.6083433
F5GBS 47.07037 -0.8962237
F1FHL 47.4837701 2.4492808
F1GFB 44.9461889 5.6590583
F6DZR 46.8147111 -0.511054
FR4NP -20.9383678 55.3026939
F5ZZC 48.0496976 -1.7449704
F5ZJW 46.499381 5.4169548
F6GUZ 47.2868693 0.7369719
F4CHA 48.7583581 0.582982
F5BLC 44.3530017 2.0351047
F1ZHA 45.8331334 1.2612589
F1ZQC 48.9139552 2.2807904
F1ZCZ 43.1582804 3.1548218
F4IAH 44.0135852 4.7661497
F1ZEU 44.9782373 4.7983522
F1ZKY 51.0001097 2.3763991
VE2DBE 45.2778525 -73.2672024
F5ZXP 43.1747948 3.1238182
F5TPK 49.2242659 4.0537389
F5LPE 48.0744892 1.3699677
F5ZJC 45.8977723 0.9212075
F1DLW 47.238775 6.0270313
F1HIU 47.8080794 6.9091397
F1ZPX 48.8458827 2.2789672
F1ZEV 45.3820449 4.4394938
F5IDZ 43.6304442 3.4346915
F5ZUD 48.6496809 6.146048
F1OOG 48.4190007 1.3546726
F4HLJ 47.0006555 3.1367672
F1ZNH 44.6058894 2.0052357
F1ZCU 48.3092465 3.9575236
F1GXW 46.9735982 0.602824
F5NLG 48.5434084 -3.3977997
F5ZPX 48.7624965 1.9462094
VE2RQF 45.4061637 -71.8945312
TK4LS 42.0109517 9.3226087
FM1LF 14.6737791 -61.0372237
F5RIJ 43.523536 5.2554436
FG5ZBX 16.2522017 -61.3123285
TK1CX 42.3781031 9.1956634
TK0NL 41.9221631 8.738312
F5ZGF 44.3161 2.7546825
FG5GP 16.2358078 -61.6016877
F5KMB 49.5069688 2.4364787
F1ZDG 47.9809938 7.1259825
F5PEG 48.9629183 4.3729776
F4HQE 47.9086723 -4.0628053
FR5ZAE -21.0538225 55.2288012
F4KJG 43.6194121 3.863729
VK2ICW -33.7806656 150.7762406
FG4KL 16.2535232 -61.2737404
F1ZCZ 43.1829885 3.0010517
