22 F6FQB H;48.4841149;-2.7513466
17 F4HES H;45.6153434;-1.0051081
50 F4RTE H;49.6090402;-1.5723102
26 F6FLQ H;44.8657736;4.9411152
38 F6KJJ V;45.302703;5.4851005
71 F0ELA H;46.8830586;5.2615613
M FR4NP H;-20.9555192;55.3216504
60 F4FSD H;49.4163186;2.9396811
47 F1ZRS V;44.6906126;0.1240324
LX LX2OOO V;49.5186685;6.0971022
50 F5RJM H;49.5716669;-1.6279219
27 F1ZQS V;49.283355;1.4596404
BE ON4LS H;50.48486;4.8850767
18 F5NAK V;47.1651119;2.227005
F6KBO L name;49.2692492;-3.6789066
18 F4HSN V;47.2570425;2.7583101
06 F6IMD R;43.8957262;7.1509481
38 F1CXG H;45.1915251;5.7067033
77 F1ZRY V;48.8327575;2.9642992
974 FR1ZCD V;-21.2203962;55.5598415
974 FR1ZCE V;-21.3607541;55.7676065
974 FR1ZCF V;-21.0040278;55.6950779
16 F0EQJ H;45.606522;0.0997943
MA CN8HF 10M;35.7804828;-5.8089978
24 F5OVZ V;44.8849513;1.2146536
73 F5ANZ H;45.6776348;5.7850727
16 F1ZSQ V;45.8521578;0.1754
76 F8KGK V;49.456915;1.1177535
17 F4AYW H;45.700341;-0.78043
22 F2PI H;48.7974685;-3.2392308
974 FR1GV H;-21.2417345;55.33329
87 F5ZGM R;45.8135552;1.8024116
75 F1RAF H;48.8457323;2.3698257
92 F1ZQC V;48.9139552;2.2807904
22 F1ZRQ V;48.5581453;-2.5348577
BE ON5PT H;50.4226094;4.8082799
76 F2PI H;49.4515945;1.1133792
62 F4HJG V;50.7269227;1.615414
29 F5ZJX V;48.5875093;-3.8328554
92 F6INI H;48.8076029;2.2420687
761 F2PI H;49.910057;0.9445749
22 F5ZIN V;48.5561579;-3.4641629
QC VA2NRJ H;45.5728555;-73.3827757
55 F0EJB H;48.9462922;5.8261842
44 F1ZQO T;47.4872318;-2.2945437
77 F1ZQY V;48.8423004;2.913631
94 F5LGW H;48.7994597;2.4425698
28 F1TUK H;48.4068081;1.5950743
75 F4HWN H;48.8482855;2.2708201
67 F5SWB H;48.5439153;7.5160734
BE ON6LF U;50.6369335;4.6553588
76 F1ZIB T;49.5081514;0.1625253
19 F5ZRF V;45.3127794;1.6978975
25 F1DLW H;47.2527083;6.0258367
M F6HRP H;48.5608692;-3.1262705
45 F4IKQ H;48.0908194;2.4469095
33 F1ZIG T;44.738008;-0.6807498
59 F1TYP V;50.4878861;3.3528775
95 F4IBG H;48.9914843;2.2864665
BE ON3CPE H;51.0399385;3.7018157
38 F4GJQ H;45.3262494;5.4328229
77 F0FWW V;48.6257817;2.5909632
22 F4VSJ 6M;48.1862932;-3.2687599
56 F5GNR H;47.365719;-3.2045672
17 F9SV H;46.078652;-1.0496859
28 F2VZ H;48.6055718;1.6399351
BE ON4YI U;50.3233781;4.3869653
49 F5ZCD V;47.2841151;-0.7350203
44 F5SSB V;47.0510386;-1.1822126
94 F6HYY H;48.804523;2.4308315
33 F5RUE H;44.7694289;-0.5855939
BE ON4KPN U;50.4390197;4.0086203
BE ON0THN U;50.3496084;4.2895407
91 F5NXT H;48.7091256;2.4765526
37 F6GUZ R;47.2843075;0.7376585
68 F1ZSB V;47.7903551;7.2966113
24 F6EKX V;44.8378401;0.7394996
59 F4IKU V;50.6731628;3.1015942
24 F1OYP U;45.1450197;0.5278176
24 F4KLI U;45.1807962;0.773729
25 F8FFP V;46.9156645;6.2665914
79 F5LRQ H;46.86113;-0.6557465
57 F1ZSJ R;49.1260187;6.1819625
12 F8NHA H;44.1802592;2.7909604
85 F5BJV V;46.423405;-1.4894919
25 F0GAG V;47.4223997;6.8599807
76 F8TPJ H;49.8675992;1.0711228
18 F5BRI H;47.2834081;2.5789833
BE ON2OD U;50.6956782;4.0416499
28 F5VMH V;48.7394054;1.3524877
37 F6CVM H;47.3917996;0.7114178
06 F6FDY H;43.7212653;7.2334437
12 F1LRZ H;44.09871;3.0459212
86 F4EKQ V;46.4374821;0.6699498
79 F5PMW V;46.1807224;-0.4764211
95 F5PLS H;49.0508721;2.445361
09 F1BBG V;42.8515339;1.6046889
85 F4HEX H;46.553658;-1.0612363
BE ON4LJA H;50.625597;3.3933419
BE ON0NR U;50.4080526;4.848143
73 F1ZBN R;45.6663725;5.9781403
29 F4AHV H;48.6021014;-3.7116119
40 F0CYQ V;43.6678646;-1.308225
84 F5ZRU T;43.848902;5.0293212
32 F8ASG H;43.7480701;-0.1009005
87 F5RNZ H;45.8343618;1.2536441
13 F1SVV H;43.6253391;5.1104955
68 F4BRF H;47.7903551;7.2966113
BE ON4WCJ H;50.050256;4.3228405
11 F1QM 10M;43.1582971;3.1552262
17 F5NXG V;45.2839778;-0.4092694
06 F1ZSX V;43.6480035;7.13044
59 F5UGX V;50.2999553;3.9220427
13 F1ZLC V;43.5490339;5.0354732
76 F4DBC H;49.5083748;1.0089516
87 F5ZJE 6M;45.8134608;1.8060326
80 F4VSI H;50.1884133;1.6334413
QC VE2CVA R;46.1344136;-71.2263569
M F4IJJ H;48.8053843;2.4546099
63 F1ZBT U;45.6852949;3.1270023
62 F5GUH H;50.4107164;1.5716607
59 F1ZKY R;50.9990718;2.3752206
33 F0FQL V;44.5844454;-0.1320157
59 F5KDB V;50.2999655;3.9222572
02 F4GTT V;48.9999351;3.3418391
46 F1ZNH T;44.6066749;2.0051325
84 F1MHL H;43.9474695;4.8076106
VMH F1TZO H;48.6386768;2.2703909
91 F1TZO 10M;48.6326262;2.3008158
M F5NLG H;48.5432897;-3.3978102
27 F1ASM H;49.1975103;1.1046853
67 F5ZAU R;48.651665;7.2927582
34 F6BTM H;43.2750436;3.1669814
76 F4BPP H;49.5195091;0.0763765
03 F5SHN V;46.5575389;3.2640314
33 F0FQL H;44.593116;-0.1685767
09 F6DEV V;42.9936061;1.28414
53 F1EVM H;48.0968846;-0.8905783
75 F5HLA H;48.8471642;2.3177457
83 F4HJX U;43.3839625;5.7009325
17 F6FOH V;46.1877449;-1.1918242
972 FM1LF H;14.6480555555556;-61.0358333333334
29 F1BHY V;47.8739155;-3.533008
66 F5ZRK V;42.5154541;2.0369982
94 F1ZHW V;48.788079;2.48883899999998
